Station Name,State,District,Month,Year,Temperature (in °C)
LONG ISLAND,Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,Jun,2010,25.63
GANNAVARAM(A),Andhra Pradesh,KRISHNA,Jun,2010,26.74
SHAJAPUR,Madhya Pradesh,SHAJAPUR,Jun,2010,27.96
SAMBALPUR,Odisha,SAMBALPUR,Jun,2010,26.68
WASHIM,Maharashtra,WASHIM,Jun,2010,25.23
ANATAPUR,Andhra Pradesh,ANATAPUR,Jun,2010,25.15
RATNAGIRI,Maharashtra,RATNAGIRI,Jun,2010,25.17
DHARAMSHALA,Himachal Pradesh,KANGRA,Jun,2010,17.52
DARJEELING,West Bengal,DARJEELING,Jun,2010,12.23
COIMBATORE / PEELAMEDU (A),Tamil Nadu,COIMBATORE,Jun,2010,23.51
MORADABAD,Uttar Pradesh,MORADABAD,Jun,2010,26.46
ULUBERIA,West Bengal,HOWRAH,Jun,2010,23.73
KAKINADA,Andhra Pradesh,EAST GODAVARI,Jun,2010,27.45
THIRUVANATHAPURAM (A) (TRIVANDRUM,Kerala,THIRUVANATHA PURAM,Jun,2010,24.30
ANGUL,Odisha,ANGUL,Jun,2010,23.61
AGATHI(A),Lakshadweep,LAKSHADWEEP,Jun,2010,26.47
LUCKNOW/AMAUSI(A),Uttar Pradesh,LUCKNOW,Jun,2010,27.22
KOPPAL,Karnataka,KOPPAL,Jun,2010,23.27
KANPUR CHAK.AERO,Uttar Pradesh,KANPUR,Jun,2010,28.75
DAHANU,Maharashtra,THANE,Jun,2010,26.97
GADAG,Karnataka,GADAG,Jun,2010,21.89
KURNOOL,Andhra Pradesh,KURNOOL,Jun,2010,26.30
IDAR,Gujarat,SABARKANTHA,Jun,2010,28.20
KALINGAPATNAM,Andhra Pradesh,SRIKAKULAM,Jun,2010,27.15
AMRAOTI,Maharashtra,AMRAVATI,Jun,2010,27.29
THRISSUR (TRICHUR),Kerala,THRISSUR,Jun,2010,23.80
HAMIRPUR,Uttar Pradesh,HAMIRPUR,Jun,2010,30.01
AKOLA CITY,Maharashtra,AKOLA ,Jun,2010,27.34
KODAIKANAL,Tamil Nadu,DINDIGUL,Jun,2010,13.02
NAGAPATTINAM,Tamil Nadu,NAGAPATTINAM,Jun,2010,26.44
INDORE(A),Madhya Pradesh,INDORE,Jun,2010,25.34
LUDHIANA(A),Punjab,LUDHIANA,Jun,2010,25.93
PHULBANI,Odisha,KANDHAMAL,Jun,2010,24.19
RAICHUR,Karnataka,RAICHUR,Jun,2010,21.04
BRAMHAPURI,Maharashtra,CHANDRAPUR,Jun,2010,27.09
UMARIA,Madhya Pradesh,UMARIA,Jun,2010,26.78
